w_v,u_density,v_density
0.75,444.444444444439,222.22222222222
0.755,444.444444444439,222.22222222222
0.76,444.444444444439,222.22222222222
0.765,444.444444444439,222.22222222222
0.77,444.444444444439,222.22222222222
0.775,444.444444444439,222.22222222222
0.78,444.444444444439,222.22222222222
0.785,444.444444444439,222.22222222222
0.79,444.444444444439,222.22222222222
0.795,444.444444444439,222.22222222222
0.8,444.444444444439,222.22222222222
0.805,444.444444444439,222.22222222222
0.81,444.444444444439,222.22222222222
0.815,444.444444444439,222.22222222222
0.82,444.444444444439,222.222222222221
0.825,444.444444444443,222.222222222222
0.83,444.444444444444,222.222222222218
0.835,444.444444443433,222.222222219711
0.84,444.444444443266,222.222222230156
0.845,444.444444444439,222.22222222222
0.85,444.412286188417,222.323002579654
0.855,444.308200381955,222.648497293725
0.86,444.13033664841,223.21893445483
0.865,443.996548721365,223.668714585301
0.87,443.863068940155,224.092667241818
0.875,443.735624916133,224.502525645996
0.88,443.693157323475,224.885528079769
0.885,443.553236462603,225.350025102866
0.89,443.506592030073,225.758292441502
0.895,443.382941417323,226.230920063974
0.9,443.307362799492,226.669333750873
0.905,443.254024177978,227.111510979825
0.91,443.166178026214,227.561339420471
0.915,443.099707714348,228.015610019732
0.92,443.024162274675,228.50574681811
0.925,442.983386699003,228.943542373364
0.93,443.001176855508,229.356115654956
0.935,442.873019918844,229.906323437434
0.94,442.847543829494,230.391553053767
0.945,442.660844159393,230.911437526908
0.95,442.763280226793,231.410871245048
0.955,442.633694957671,231.932799787414
0.96,442.560657399148,232.436904045394
0.965,442.516096796767,232.92062162251
0.97,442.409844342186,233.501475448104
0.975,442.401023707602,234.060806183784
0.98,442.255350925624,234.639759929696
0.985,442.279581189831,235.208466849204
0.99,442.136798984281,235.810891860179
0.995,442.199985732097,236.415076989145
1,442.114268785188,237.014818256837
1.005,442.077286167127,237.636193032962
1.01,441.94471966444,238.247937653149
1.015,441.801320887298,238.990736924607
1.02,441.654085362075,239.682829296449
1.025,441.733345535841,240.303065302624
1.03,441.591431293515,241.006347670881
1.035,441.386978279369,241.783524035132
1.04,441.291297744937,242.528025513794
1.045,441.3719361411,243.180177112192
1.05,440.982560590785,244.063799609365
1.055,440.824049159771,244.883195999391
1.06,440.632534965569,245.758798311471
1.065,440.346820425513,246.714211895525
1.07,440.164198704368,247.591187772068
1.075,439.851083140833,248.569812068974
1.08,439.458116153731,249.629381671612
1.085,439.167568906318,250.620138656366
1.09,438.745872283711,251.700689727922
1.095,438.190627987828,252.900274230118
1.1,437.554233403082,254.115331419719
